cleaned_title,Sentiment
deek thinks proud potions youve brewed sinister,Neutral
ancient magic hotspot,Neutral
feel horrible,Negative
mallowsweet unfortunately,Negative
professor sharp appreciation post think neat,Positive
still,Neutral
heres arachnophobia mode looks like btw didnt,Neutral
found gay ghost couple,Neutral
sure got spells never unsee,Neutral
want opinion posters made inspired hl quotes,Neutral
think get year hogwarts,Neutral
avada kedavra amazing spell,Positive
drippest wizard hogwartz,Neutral
mini game quidditch hogwarts legacy,Neutral
anyone else never wear,Neutral
well thats uh,Neutral
anyone else find hope shell okay,Positive
easily annoying,Negative
game looks unbelievably good times,Positive
know know,Neutral
merlin trial,Neutral
notice sir richard harris,Neutral
anyone else noticed non school robes cloaks still emblem covered,Neutral
,Neutral
wait professor horwin hears,Neutral
,Neutral
room requirement,Neutral
know merlin trial see one,Neutral
hogwarts legacy way beautiful,Positive
denied,Neutral
im mad im dumb,Negative
sirona ryan great character game love voice actor,Positive
making cozy place good friend deek,Positive
buy,Neutral
dragon,Neutral
went pottery class made sorting,Neutral
found antique gave daedalian key,Neutral
rather proud,Positive
first time seen sea monster game,Neutral
finished hogwarts,Neutral
meme found back idk anyone else posted,Neutral
rate room requirement,Neutral
fascination slytherin house,Negative
poor blind bastard,Negative
trial,Neutral
mastered broom,Neutral
sometimes dont time combo build ancient magic,Neutral
pretty,Positive
name hogwarts,Neutral
moment break office via balcony lockpicking door find actually,Neutral
found spot harry cast patronus charm,Neutral
love feeling evil truly grey jedi,Negative
sebastian flies away,Neutral
finally,Positive
else hates,Negative
loved every single moment poppy sebastian remained pleasure complete,Positive
dont care im new gives extra defense im wearing goofy lookin hat,Neutral
wanted show little,Neutral
sebastian lost,Negative
choose companion forever,Neutral
hogwarts painting hope liked,Positive
calling beasts childish names,Negative
feel kinda evil,Negative
hogwarts legacy mixed cyberpunk new dlc coming,Neutral
girl,Neutral
works,Neutral
personality player character even get close matching power,Neutral
maybe time break,Neutral
think whenever pet cat,Neutral
name,Neutral
hate,Negative
polyjuice potion wear completely,Neutral
need life protego,Neutral
hope sub gets traction future,Neutral
,Neutral
keys quest absolute mission gotta robe worth,Neutral
finally got good screenshot ravenclaw mc,Positive
version hogwarts autumn still ig,Neutral
like dont even notice,Neutral
gladwin moon says demiguise moon trophies many found bedside half gladwin moonlighting,Neutral
potion think,Neutral
hrs first time seeing,Neutral
casually exploring allowed man,Neutral
set africa borders circa rest world century divisions,Neutral
dlc idea find kill master,Neutral
first winter,Neutral
,Neutral
breaking bad hogwarts,Negative
gf spent hours one asked show,Neutral
merlin trial,Neutral
probably late party happy nontheless,Positive
whenever hogwarts student asks item sent fetch quest,Neutral
,Neutral
sometimes im bad day like fly around reason view please tell im,Negative
sebastian getting ready fashion week,Neutral
love mc looks wanted share,Positive
treasure seeker gear cape legendary mask creed,Neutral
avada kedavra,Neutral
avada,Neutral
found mountain,Neutral
saw suddenly thought,Neutral
found hours,Neutral
posted yesterday finishing duelist well finished legendary mask,Positive
uhh,Neutral
revelio,Neutral
finally,Positive
ran dragon id seen map time didnt realize actually find,Neutral
im sure,Neutral
favorite portrait,Neutral
wait till graduation,Neutral
baby niffler troubles,Neutral
dont make rules,Neutral
professor garlick hittin different,Neutral
feel first game,Neutral
ah rare ancient magic,Neutral
hands far stupidest quest encountered,Negative
got freddy krueger fit,Neutral
broom operator training,Neutral
someone completed merlin trial,Neutral
room requirement based slytherin common room,Neutral
game told,Neutral
minding business heard noise behind,Neutral
sheep stole scene,Neutral
unicorn foal look,Neutral
trans harry potter character become favorite whats opinion,Neutral
realize loading screen tracks progress,Neutral
decided scrapbook play make kind field suggestions things put door cheat sheet,Neutral
chose gryffindor like,Neutral
oh look another chest,Neutral
broken moth left regret last hours life,Negative
petition allow people become,Neutral
found nice gap rocks watch winter sun hogwarts,Positive
first game summoners court quest hate much,Negative
meet chocobos,Neutral
small detail noticed pupils dilate accordance lightning,Neutral
merlin trials really,Neutral
botany crazy hufflepuff,Neutral
dont know hippogriffs happens,Neutral
painting mother based intro game,Neutral
game great wallpapers,Positive
got white graphorn star symbol next name,Neutral
poppy sweeting reminds hagrid wont surprised grandmother dad option romance another student one,Neutral
card pulled chocolate,Neutral
anyone else get chills first saw,Neutral
im playing,Neutral
magical gift,Positive
sometimes force breed sell children,Negative
gaslit time month,Neutral
gryffindor relic house uniform looks damn cool,Positive
think pc handle game,Neutral
first time use light game brilliant,Positive
level herbology,Neutral
anyone else use room requirement glorified mallowsweet,Neutral
legit stop,Negative
,Neutral
yep,Neutral
wrong,Negative
button,Neutral
,Neutral
many,Neutral
today birthday got sucker,Neutral
,Neutral
attend herbology class time meet professor,Neutral
mr steal yo witch,Neutral
whats meaning easter,Neutral
,Neutral
brand new wizarding asked friend work tips,Neutral
complete,Neutral
ron follow spiders follow,Neutral
gotten many compliments people keep asking used mods make base game give anyone slider info thanks kind,Positive
game pet mine definitely alohomora working,Positive
could never hate hogwarts legacy shape get gta vibes sometimes see identical npcs right next,Positive
hi started play side,Neutral
uumm ok,Neutral
know merlin trial see one,Neutral
sad voldemort,Negative
keep getting blown absolutely,Negative
bedridden fever drew ominis first time sleep,Negative
anyone know complete,Neutral
girlfriend thought crazy dressing like everytime tell crazy,Neutral
shot best common,Neutral
oh god forbid avada kedavra someone killing instantly,Negative
feel like merlin trial,Neutral
perfect soundtrack,Positive
help open eyeball chest,Neutral
anyone else find,Neutral
one doesnt like,Negative
fuck,Negative
present,Neutral
,Neutral
,Neutral
finally never even thought first would,Neutral
built labyrinth vivarium,Neutral
sounds right,Positive
cares floo powder views,Neutral
definition,Neutral
vs hogwarts legacy character add scar cool af,Positive
looks like people,Neutral
secret merlin trial discovered,Neutral
wish feature altering look wand,Neutral
bet one beat broom pure slytherin,Neutral
one multiple outfits multiple pure feel helps kicking ass,Positive
wild dragon,Neutral
right desktop wallpaper month,Neutral
put harry potter music,Neutral
found old fashioned quiddich,Neutral
mooncalf,Neutral
first time tips tricks playing switch,Neutral
anyone else breed golden,Neutral
playstation players watching everyone else finally experiencing haunted shop reactions priceless,Positive
fig two,Neutral
hold,Neutral
could stand listen whats favourite music,Neutral
treated weekend havent stopped playing since lol absolutely loving,Positive
found another merlin trial,Neutral
see group made someone getting fired,Negative
funny true,Positive
moaning,Neutral
get door hogwarts says cant land,Neutral
one cares,Neutral
bloody unicorn ran away area aggroing multiple took minutes catch using arresto momentum glacius slow bottom screw,Neutral
seeing hardware lowes automatically thinking use accio,Neutral
bf got shinnies hour,Neutral
love,Positive
know merlin trial see one,Neutral
great feeling get everything yet sad definitely fun ever exploring location,Positive
laughed way hard,Positive
heres favorite outfits rate guess,Neutral
play,Neutral
finally reached level,Neutral
time,Neutral
everybody,Neutral
painting great ig,Positive
hogwarts without,Neutral
got cant wait,Positive
love jump enemy horde,Positive
difference game vs hogwarts legacy game,Neutral
mine demiguise,Neutral
hours absolutely jaw dropping happy,Positive
mine,Neutral
according cast revelio average times per gameplay times per minute,Neutral
call broom walk,Neutral
feeling festive season went halloween mode,Neutral
perfection defeating absconder,Neutral
pretty proud photo mode really captures great atmosphere lighting,Positive
hit moves right,Neutral
hogwarts legacy worth,Neutral
one merlin,Neutral
lets go boys,Positive
one favorite screenshots taken love,Positive
ignatia wildsmith way find,Neutral
reason took,Neutral
isnt hogwarts legacy good,Neutral
cant tell wouldnt great wallpaper pic tuff,Neutral
sketched sebastian,Neutral
one trust arches rip sirius,Neutral
much op upgrade avada kedavra,Neutral
thoughts whole section buying shop,Neutral
spotted family deer forbidden forest,Neutral
poppy sweeting best change,Positive
anyone experience open big chests gear stay yellow like found stuck many around world keep going back yellow,Neutral
wonder lived,Neutral
help wtf,Negative
merely adopted dark,Neutral
slytherin christmas love much,Positive
finally caught phoenix,Neutral
silver rimmed spectacles,Neutral
got gem,Neutral
da cats,Neutral
reparo work like,Neutral
love accurate depiction hogwarts,Positive
find stopping every minutes take game,Neutral
accidentally popped hard left endless fire tornado wake,Neutral
got tips going,Neutral
diss,Neutral
everything,Neutral
excellent,Positive
essentials,Neutral
hogwarts legacy low settings,Neutral
without cheating,Neutral
heck,Neutral
victor krum,Neutral
wand,Neutral
friend shaped,Neutral
poppy definitely favorite friend adventure,Positive
dripped dining hall,Neutral
totally innocent looking,Positive
happened afternoon,Neutral
first time playing got sorted,Neutral
fwooper colors,Neutral
fanart sebastian sallow,Neutral
anyone else literally spend minutes putting together perfect fit different parts im currently going combat,Neutral
basically us learned spell,Neutral
um,Neutral
view never gets old,Positive
simple watching beasts play toys brings much,Positive
crushing enemies ball,Neutral
named moms cat pinky sadly passed away years lives pinky shiny,Negative
yall think meth lab,Neutral
,Neutral
one stop playing,Negative
chilling class know giant squid pops say hello,Neutral
lumos,Neutral
wanted,Neutral
one favourite npc side scenes,Positive
legacy lucky charms,Neutral
finished making duelist making legendary mask,Neutral
love finding little fellas,Positive
wish utility spells tied combat spell,Neutral
love,Positive
anyone tell symbol,Neutral
game looks gorgerous,Positive
new best friend,Positive
new bestie hanging,Neutral
hogwarts helped self esteem,Neutral
oh boy cant wait outwit opponents superior casting ability character fight,Positive
meet rose dawson hogwarts legacy,Neutral
well known,Neutral
,Neutral
feel like cast revelio,Neutral
history room simply,Neutral
apartment,Neutral
unexpected guest joined treasure vault,Neutral
one prefers switch,Neutral
cant get enough,Positive
wish accidentally hurt,Negative
finished merlin,Neutral
feel,Neutral
name,Neutral
issue game,Neutral
seriously thought wed fight,Neutral
whomping willow,Neutral
exploring forbidden forest met sight gave strong prisoner azkaban silhouette kinda haunting time,Neutral
think character became vegetarian,Neutral
game escape scared finish,Neutral
game witches ghouls mean,Neutral
battles get weird gear like,Negative
story book trial meant represent black,Neutral
hogwarts castle,Neutral
every waking moment,Neutral
didnt think would horrible become shop,Negative
first time trying hand tips,Neutral
uhhh,Neutral
absolutely awful combat,Negative
graphorn baby,Neutral
cant believe jerking middle,Negative
found giant,Neutral
,Neutral
play hogsmeade shop quest wish luck,Positive
took today game without photo mode update,Neutral
scratches study room wall arithmancy,Neutral
baby graphorn,Neutral
,Neutral
exclusively mine till purchased wife,Neutral
,Neutral
played hl like fps,Neutral
happened,Neutral
warner already working hogwarts legacy,Neutral
tried go,Neutral
nothing like view castle morning,Positive
people consciously studied unforgivable,Negative
accidentally cast spell beasts instead feeding petting,Neutral
bastard followed,Negative
wanted share ominis funko,Neutral
anyone else tip busker found hogsmeade highlands always certainly draws,Neutral
going swear tree previous play,Neutral
wtf man,Negative
murderered people little,Negative
landscape game,Neutral
searching high low demiguise im beginning hate much gladwin moon,Negative
many quests end teenage character tell someone loved one,Neutral
getting boring,Negative
played four prefer meet talk,Neutral
guys think third trail,Neutral
one last picture set characters,Neutral
hogwarts legacy great,Positive
alohomora,Neutral
worst merlin trial right way,Negative
everytime enter room,Neutral
loving game,Positive
good thing bodies disappear kill,Neutral
damn hard,Negative
ohh,Neutral
really kinda wish ominis okay undercroft understand character different surely fellow slytherin would,Neutral
quest broke,Negative
elusive giant squid showing love,Positive
,Neutral
obviously important part game,Positive
trick,Neutral
part game,Neutral
turn sebastian,Neutral
avoid spoilers,Neutral
anyone else overly annoyed ignatia wildsmiths lines every time walk would pay money mute,Negative
professor reflection look aged,Negative
absolute worst job officer singer,Negative
annoying thing,Negative
mah,Neutral
trick shots summoners court,Neutral
hogwarts legacy animation,Neutral
fuck give us,Negative
seen much love room spent way much time designing floor npcs come hang brew feels hoping feedback others customized,Positive
work harder,Neutral
idiot zoom way world splits everything sections shows exactly missing,Negative
made send people family need let,Neutral
coolest thing going merlin trial giant squid came able start recording catch glimpse,Positive
doctor outfit,Neutral
feels like playing hogwarts legacy steam deck,Positive
shiny caligo comparison,Neutral
ignatia chill,Neutral
starting go get,Neutral
seems roads lead hogsmeade,Neutral
old man wanting carry playing,Neutral
help get behind barrel,Neutral
mirabel garlick,Neutral
epic,Neutral
hate summoners court,Negative
amount complaining game old,Negative
hogwarts legacy made enjoy harry pooter movies,Positive
got serial killer fit,Neutral
realized character looks exactly like kirsten,Neutral
got sucked book place black white,Negative
biggest painting project year,Positive
think found amateur quidditch pitch,Neutral
new favorite way annoy sneak behind say floo flame quotes,Neutral
person playing hogwarts legacy refuses fast especially around hogwarts else,Neutral
hows vivarium,Neutral
owl post way go,Neutral
sitting area deek,Neutral
beast lady got mauled vase,Negative
cutest thing seen hl far,Positive
feeling,Neutral
first look lord shore,Neutral
guess character priorities,Neutral
professor dinah hecat,Neutral
great loads awesome sit even chairs,Positive
sebastian calls,Neutral
muggles comes broom pro,Neutral
complete merlin trial,Neutral
please drink,Neutral
anyone feel bad,Negative
good sport,Positive
love building beasts custom ruins,Positive
merlin certainly picks,Neutral
beautiful hogwarts winter looks fabulous,Positive
demiguise boring quest ever,Negative
one favorite photos taken messing around photo mode,Positive
two favourite characters,Positive
broom trials,Neutral
,Neutral
super quick ominis doodle cause game left void life,Neutral
bugging broom,Neutral
anyone else,Neutral
painting reference,Neutral
thought yall would appreciate picture took photo mode hgl,Positive
oh god,Negative
poppys eyes gone wild,Neutral
real reason quidditch,Neutral
anybody else poor lady business trying capture,Negative
fanciest zombie ever unlive,Negative
merlin trials hack,Neutral
mine demiguise,Neutral
,Neutral
call teachers except,Neutral
scene romantic cant,Negative
surefire way get,Neutral
completionist heart happy,Positive
really mastered wand battle much fun,Positive
finished ravenclaw playthrough week ago started back hufflepuff called must think definitely sticking gear planning becoming adventurous student think dressed like mostly become,Neutral
fuck,Negative
true,Neutral
u accidentally zap creature u either r currently petting,Neutral
,Neutral
hours best house,Positive
anyone else see merlin trial,Neutral
hours game first time seen,Neutral
got upgraded,Neutral
seriously,Neutral
got pretty damn cool action shot character,Positive
today learned,Neutral
loved playing battle much fun,Positive
present tunnel dash unless someone allready discovered,Neutral
would like see,Neutral
names chosen one house admit childish,Negative
joined hufflepuff,Neutral
least favorite merlin,Neutral
anyone else feel bad,Negative
game looks like settings ultra updated driver,Neutral
way see things,Neutral
wanted chill bit crying,Neutral
hours recognized closing hood,Neutral
baby unicornnnn,Neutral
one changes gear appearances depending kind activity im,Neutral
,Neutral
gossip regarding new fifth year,Neutral
anyone else looking absolutely,Neutral
skip merlin trial cutscenes,Neutral
deek shuttup potions ima brew special,Neutral
house,Neutral
less hours main quests killing dark,Negative
lord forbid man fun,Neutral
favourite picture ive taken game,Positive
bad graphicsi tried playing another laptop lenovo thinkpad nividia quadro faces looks like im starting new tried different quality game worked better worse computers dont understand problem,Negative
finally caught boy lord shore,Neutral
hogwarts,Neutral
astronomy tables hard mode impossible,Negative
know im one anyone else found lake harry cast expecto patronum prob spelt,Neutral
found critters tea wish could sit,Neutral
wild dragon,Neutral
floor swallowed guy apparently,Neutral
made yalls enjoyment,Neutral
hogwarts,Neutral
actually laughed happened,Positive
funny first like fix whole game like,Neutral
umm cabbages hard difficulty btw,Neutral
im addicted point,Neutral
time turner,Neutral
demiguide statues placed moon regularly,Neutral
actually turn away,Negative
finally,Positive
r u highwing,Neutral
feel like certain every time sebastian opens mouth honestly think biggest complaint game able smack hug god knows deserve,Neutral
think found look,Neutral
merlin trials,Neutral
hope respawns,Neutral
need progress game able unlock type,Neutral
time hogwarts worth,Neutral
dumbledore died,Negative
wondering characters look,Neutral
frogs dance hogwarts legacy,Neutral
oo um bad,Negative
change characters appearance school clothes come go,Neutral
dislike hl,Negative
waiting quidditch dlc like,Neutral
look found map,Neutral
lady sold shop told go,Neutral
completed,Neutral
third playthrough gryff went get lord shore found shiny white knight still got lord,Neutral
im happy game getting type additional updates seems like team wb heard cries,Positive
hes,Neutral
potions masters always thirst,Neutral
whats,Neutral
love sharp,Positive
everyone always talks arachnophobia megalophobia keeper,Negative
guess always scrubbing,Neutral
ancient magic,Neutral
finished challenge,Neutral
well changed mood,Neutral
daring escape say,Neutral
avada kedavra critical,Neutral
think walked,Neutral
playthrough noticed guy stumbling behind lodgok whole scene,Neutral
know like like cool also interested dark magic,Positive
still get crap like,Negative
never notice,Neutral
opened level ii lock house,Neutral
really wish classes actual classes instead minute long,Neutral
journey crushed,Negative
ive never happier,Positive
first last time preorder game amazon,Neutral
anyone know get stairs gryffindor common ive completed entire,Neutral
hogwarts legacy worth,Neutral
took finally beat,Neutral
get,Neutral
first time playing finally got wand,Neutral
mine demiguise,Neutral
made pops characters,Neutral
lights hogwarts legacy animation,Neutral
found amazon,Neutral
harry potter back theaters dive hogwarts,Neutral
sebastian helpful,Neutral
fancy think one ror vivariums look cozy enough share,Positive
finally,Positive
poaching bad,Negative
finally,Positive
love game,Positive
awkwardly standing room sebastians family drama,Neutral
make bad,Negative
know ow cheat type merlin,Neutral
today penny,Neutral
name,Neutral
one hates,Negative
around find,Neutral
hogwarts didnt know else put less players thats pretty,Positive
somebody merlin trial,Neutral
lol anyway free,Positive
u mad,Negative
took screenshot,Neutral
found sign hogwarts legacy,Neutral
prison uniform wearing last help,Neutral
see dragons often hogwarts,Neutral
wish added hang option poppy would love,Positive
loving halloween,Positive
satisfying combat vids able take hrs playing,Positive
arachnophobia mode,Negative
get lucky breed shiny,Neutral
gotta love dragon pretty happy,Positive
guess ill see,Neutral
,Neutral
love incredible landscapes,Positive
minding business crazy,Neutral
dont want,Negative
whirlpool death,Neutral
hope give us ability save multiple know like like switch back forth school outfit adventure,Neutral
central closest get arithmancy thats,Neutral
summoning,Neutral
long time say ive,Neutral
know right place crib,Neutral
really nailed visuals castle,Positive
follow,Neutral
change decorations,Neutral
ever urge change student attair quests,Neutral
remind,Neutral
new character ready second run angles makes look like giant headed toddler,Neutral
mine demiguise,Neutral
people seem pretty set saying game lot recently due completion want go record say finished want pretty standard whay finished,Neutral
easier way solving jumping merlin trials,Neutral
playing enhanced,Neutral
game fun,Positive
started one stood listening piano way,Neutral
many instruments even get guy never im far,Neutral
game beautiful,Positive
finally,Positive
mine,Neutral
frustrating thing,Negative
beasts happiest species usually place noticed hippogriffs really disliked,Neutral
find secret passageway game full,Neutral
pretty much reason wanted learn thanks,Positive
novelty wears game kind,Neutral
ominis someone give blank,Neutral
accidentally hitting beasts confringo makes wanna die,Negative
need please,Neutral
cant believe finally,Positive
nearly done game first time seen,Neutral
amit watching use dark magic murder goblins mine wanted read gobbledegook,Negative
hufflepuff gang roll,Neutral
,Neutral
coworker,Neutral
favorite beast,Positive
poppy sweeting wand,Positive
,Neutral
ranrok looks like dad,Neutral
want pet cow,Neutral
one best beautiful games ever played,Positive
mission side mission never apparently dont remember,Neutral
long take figure,Neutral
case youre wondering kind gamer kind stops pet kitty middle hogsmeade attack,Neutral
reminds someone,Neutral
someone help,Neutral
really shouldnt feature repaired bridge,Negative
welcome wizarding world,Positive
mean,Neutral
idc anyone little derps cutest beast,Positive
house,Neutral
insane modern game like doesnt let pause,Neutral
professor mirror image younger,Neutral
back game year,Neutral
sick,Negative
look fabulous hair,Positive
female voice actor infinitely better,Positive
well took,Neutral
anyone else think option choose dark wizard path,Neutral
become horror,Neutral
,Neutral
saw ancient magic hotspot riding broom,Neutral
anyone else wants,Neutral
wonderful location shop,Positive
reactions unforgivables kill every time,Negative
caught highwing one puffskeins cuddling today,Neutral
satisfying,Positive
something,Neutral
nice,Positive
hufflepuff common,Neutral
even two days old,Neutral
im scared,Negative
,Neutral
petting cats like,Neutral
purchased deluxe edition came,Neutral
got part,Neutral
let,Neutral
nightmare fueled quest ready,Neutral
killing,Negative
good witch bad,Neutral
thought silly,Negative
moment thought goner,Neutral
anyone else changes outfit according theyre,Neutral
one thing game gets right every rpg gets,Positive
found forbidden chest,Neutral
game worth,Neutral
first time playing feel like im living world,Neutral
ominis gaunt,Neutral
cabbages quite nuisance,Negative
happened capture,Neutral
canon responsible poor rons ball outfit,Negative
tobbs story,Neutral
robe glitched hes permanently wearing dress,Neutral
took portrait back three broomsticks put hogs,Neutral
game feels dead,Negative
first breeding unicorn ended giving first golden one,Neutral
imagine getting trickshotted could,Neutral
done right thing,Neutral
think ravenclaw relic robe,Neutral
wonder imagine quidditch lmao,Neutral
pet every cat see,Neutral
hot hogwarts legacy action adventure game rpg elements,Neutral
cliff outside hogsmeade,Neutral
anyone else feeling really bad killing dark,Negative
seems game telling us possible next im getting sure,Neutral
walking think,Neutral
cant,Negative
solve,Neutral
uber satisfying kill,Neutral
game needs photomode asap,Neutral
love last time saw guy gave found time later said thanks able afford needless say gave update see,Positive
girlie,Neutral
hogwarts owls getting pretty aggressive,Negative
ominus gaunt theory,Neutral
finally hit lvl,Neutral
,Neutral
started gameplay last exactly love stunning details hogwarts common everything else,Positive
absolutely hate merlin,Negative
therapeutic,Neutral
egg middle room requirement,Neutral
deek deserves nice things,Positive
sebastian says make good,Neutral
anyone else bothered,Neutral
feel like game wouldve better entire fewer collectibles fill actual,Neutral
love sebastian,Positive
type dlc would like see added hogwarts,Neutral
fair number hours mean finally full golden reflect ravenclaw intellectual names hera athena,Neutral
call,Neutral
think sebastian wants teach sallow family,Neutral
open,Neutral
absolutely awe beautiful game,Positive
accidental perfect timing,Positive
best screenshot far,Positive
started lucky friendly fire,Neutral
also hopping trend,Neutral
flying mounts way cooler brooms,Positive
anyone else stop pet,Neutral
hogwarts robes,Neutral
started decked basic gear like top tier goof,Neutral
professor hecat hogwarts legacy look like gabbie,Neutral
im sure someone probably posted totally got,Neutral
imperio best cast piece combo side troll train,Positive
hogwarts night really exploring really,Neutral
idk,Neutral
character stands every cut scene,Neutral
average hogwarts student exploring countryside,Neutral
anyone seen,Neutral
finished game,Neutral
hate part,Negative
play hl plot,Neutral
finished room requirement,Neutral
one cutest moments,Positive
found guy hogwarts castle accidentally glitched thru,Neutral
sebastien sallow,Neutral
easter eggs,Neutral
collected chocolate frog mobile game got ptsd,Neutral
transfiguration messed,Negative
anyone know youre supposed hogwarts enter giving prompts anything pedestal makes think supposed something,Neutral
character ive finished game loved everything complete side,Positive
tips something would loved know,Positive
beautiful creature,Positive
one favorite screenshots taken never get tired looking,Positive
,Neutral
unpopular opinion sirona goes hard,Neutral
one little thing want hogwarts legacy,Neutral
crafted demiguise moon sculpture hogwarts legacy magics,Neutral
first sorry sucking wands,Negative
implied enemies defeat,Negative
wth uncle,Neutral
really need friends like game quick edit anyone cosplay might mine bit obsessed,Positive
trollllll troll thought aughta know,Neutral
biggest douche,Negative
merlin trials irl,Neutral
railway couldnt resist bit fun pulling cart reason,Positive
completely inappropriate,Negative
anyone else change hogwarts robes quests school,Neutral
pile fur highlighted revelio cant interacted,Neutral
think im ok guys,Positive
songs,Neutral
oh come one expensive shops dont act like cant afford additional fee deserve,Negative
hogwarts,Neutral
natsai,Neutral
hardest decision ever,Negative
gotta pet em,Neutral
anyone know get theres chest field guide cant figure get life currently inside faculty tower,Neutral
happy game captured imagination hogwarts surrounding,Positive
cant imagine traveling till invented floo,Negative
fix,Neutral
bet u dont got bc glitch quest got tower wasnt supposed searchable,Negative
hank hill playing hogwarts legacy,Neutral
rate fit,Neutral
could grateful arachnophobia mode,Neutral
got sick tired humming suppose lmao,Negative
learning decided try sebastian witch,Neutral
book,Neutral
think tricked,Negative
wife got legacy sucked,Negative
sebastian broke heart,Negative
ever make rules youre,Neutral
bad hes useful,Neutral
hogwarts legacy sequel dont know already confirmed according,Neutral
spoiler hell,Negative
wear intro outfit latest,Neutral
yeet,Neutral
walked could think sometimes seems roads lead hogsmeade,Neutral
seven five,Neutral
finally learning avada kedavra,Neutral
ac vibes intensifying,Positive
got tips,Neutral
cat blocks make,Neutral
hogwarts legacy shop,Neutral
perry whole,Neutral
quest hogwarts legacy nightmare,Neutral
hey masks working several nice effect shake,Positive
truly one games ever played,Neutral
abandoned possible get,Neutral
lacewing flies real life,Neutral
